Knockout Fitness Zone,-9650706356,4.5,92,"Plot No 60, Sector 12, Pratap Vihar Ghaziabad, Ghaziabad - 201009, Near Golden Public School"
,,,,
Anytime Fitness,7947220909,3.9,162,"M 64, 2nd and 3rd Floor, M Block Market, Greater Kailash 2, Delhi - 110048, Near 24X7"
,,,,
Anytime Fitness,7947467663,4.7,76,"Plot No-47,Community Centre, New Friends Colony, Delhi - 110025, Above Hdfc Bank, Near Al Bake"
,,,,
Fitzone,7947452928,4.8,19,"197, IIIrd Floor, Jeewan Nagar, Ashram, Delhi - 110014, Opposite Tikona Park"
,,,,
Fitness Finesse,7947215330,3.9,201,"K- 8, AB, Kalkaji, Delhi - 110019, Near 2nd Round Circle and Subway"
,,,,
Anytime Fitness,7947223059,4.1,174,"Hall No. 1,Ground Floor,, Gaur Ganga Complex, Vaishali Sector 4, Ghaziabad - 201010, Near Vaishali Metro Station"
,,,,
Blu 1 Fitness,-26920510,4.1,202,"174-building No, Lotus Pond Road, New Friends Colony, Delhi - 110025, Behind Surya Hotel, Near Lotus Pond Restaurant."
,,,,
Planet Ultrafit,7947221916,3.9,87,"J 290, Main Road, Saket, Delhi - 110017, J Block Market"
,,,,
Cardio Prime Gym,-7834859911,3,6,"F-53, Gurudwara  Road, Madhu Vihar, Madhu Vihar-Patparganj, Delhi - 110092"
,,,,
Energie Gym Spa Salon and F..,-9266628931,3.6,200,"Plot Number-80, 3rd Floor, Vikas Marg, Nirman Vihar, Delhi - 110092, Inside V3s Mall, Laxmi Nagar"
,,,,
Cardio Prime Gym,7947220049,4,157,"A-4, IInd and IIIrd Floor, Mayur Vihar Phase 1, Delhi - 110091"
,,,,
Delhi Queen Dance Studio,7947222026,4.9,17,"Shop 24/1, Ignou Road, Neb Sarai, Delhi - 110068, Opp Anupam Appartment Gate No 4"
,,,,
Golds Gym,-46610021,3.8,247,"E 15, East Of Kailash, Delhi - 110065, Near Kailash Colony Metro Station"
,,,,
Fitness Junkie,-4154852,3.9,162,"B-6, Bharat Apartment, Main Road, Surya Nagar, Ghaziabad - 201011, Near Shunshine Hotel"
,,,,
